# Simulation 2 (Up to date)
# 203 data points written for 7 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#
# Time (s),Altitude (m),Total velocity (m/s),Mass (g),Longitudinal moment of inertia (kg·m²),CG location (cm),Thrust (N)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-4.44e-4,0.089,272.83,0.014,49.884,0.249
0.02,-3.528e-4,0.071,272.819,0.014,49.883,0.746
0.03,-2.616e-4,0.052,272.807,0.014,49.882,1.244
0.04,-1.652e-4,0.033,272.78,0.014,49.88,1.77
0.05,-4.776e-5,0.01,272.743,0.014,49.877,2.41
0.06,7.204e-5,0.014,272.705,0.014,49.874,3.064
0.07,4.12e-4,0.054,272.652,0.014,49.87,3.738
0.08,0.001,0.125,272.575,0.014,49.863,4.613
0.09,0.003,0.23,272.497,0.014,49.857,5.536
0.1,0.006,0.369,272.42,0.014,49.851,6.458
0.11,0.011,0.542,272.328,0.014,49.844,7.38
0.12,0.017,0.748,272.201,0.014,49.834,8.278
# Event LIFTOFF occurred at t=0.13 seconds
0.13,0.026,0.987,272.075,0.014,49.824,9.167
0.14,0.037,1.259,271.949,0.014,49.814,10.057
0.15,0.051,1.564,271.798,0.014,49.802,10.963
0.16,0.068,1.907,271.622,0.014,49.788,11.969
0.17,0.089,2.287,271.446,0.014,49.774,12.991
0.18,0.114,2.705,271.27,0.014,49.759,14.014
0.19,0.144,3.16,271.063,0.014,49.743,15.006
0.2,0.178,3.649,270.841,0.014,49.725,15.91
0.21,0.217,4.171,270.62,0.014,49.707,16.809
0.22,0.261,4.724,270.385,0.014,49.688,17.635
0.23,0.311,5.297,270.133,0.014,49.668,18.174
0.24,0.367,5.893,269.872,0.014,49.647,18.781
0.25,0.429,6.513,269.611,0.014,49.626,19.413
0.26,0.498,7.156,269.341,0.014,49.604,20.029
0.27,0.573,7.817,269.059,0.014,49.581,20.503
0.28,0.654,8.494,268.778,0.014,49.558,20.944
0.29,0.743,9.187,268.486,0.014,49.534,21.33
0.3,0.838,9.89,268.194,0.014,49.51,21.594
0.31,0.94,10.549,267.92,0.014,49.488,20.413
# Event LAUNCHROD occurred at t=0.319 seconds
0.319,1.043,11.114,267.678,0.014,49.468,18.723
0.334,1.206,11.858,267.352,0.014,49.441,16.708
0.355,1.469,12.787,266.933,0.014,49.406,14.36
0.381,1.811,13.752,266.485,0.014,49.369,12.769
0.406,2.169,14.612,266.073,0.014,49.335,11.871
0.432,2.553,15.454,265.675,0.014,49.302,11.574
0.457,2.963,16.272,265.277,0.014,49.268,11.247
0.484,3.411,17.092,264.876,0.014,49.235,10.938
0.513,3.913,17.943,264.458,0.014,49.199,10.732
0.547,4.548,18.937,263.957,0.014,49.157,10.521
0.597,5.531,20.372,263.237,0.014,49.096,10.533
0.647,6.586,21.815,262.514,0.014,49.034,10.636
0.687,7.472,22.95,261.939,0.014,48.985,10.648
